AMZN,,,,,,,
Date,PX_LAST,3MO_PUT_IMP_VOL,6MO_PUT_IMP_VOL,12MO_PUT_IMP_VOL,3MO_CALL_IMP_VOL,6MO_CALL_IMP_VOL,12MO_CALL_IMP_VOL
1/3/2005,44.52,39.246,38.689,37.569,39.246,38.689,37.569
1/4/2005,42.14,40.96,39.889,38.061,40.96,39.889,38.061
1/5/2005,41.77,40.913,39.74,38.263,40.913,39.74,38.263
1/6/2005,41.05,41.2,39.719,38.253,41.2,39.719,38.253
1/7/2005,42.32,40.899,39.473,37.702,40.899,39.473,37.702
1/10/2005,41.84,41.539,39.999,38.784,41.539,39.999,38.784
1/11/2005,41.64,41.504,39.525,38.948,41.504,39.525,38.948
1/12/2005,42.3,40.755,39.337,38.488,40.755,39.337,38.488
1/13/2005,42.6,41.167,39.604,38.585,41.167,39.604,38.585
1/14/2005,44.55,40.877,39.377,38.463,40.877,39.377,38.463
1/18/2005,44.58,40.872,39.15,38.217,40.872,39.15,38.217
1/19/2005,43.96,40.986,39.26,38.321,40.986,39.26,38.321
1/20/2005,42.36,43.372,40.177,38.884,43.372,40.177,38.884
1/21/2005,41.16,44.187,40.904,39.051,44.187,40.904,39.051
1/24/2005,40.38,45.064,41.38,39.253,45.064,41.38,39.253
1/25/2005,40.94,45.001,41.156,39.249,45.001,41.156,39.249
1/26/2005,41.34,44.442,40.797,38.867,44.442,40.797,38.867
1/27/2005,42.31,43.183,39.897,38.349,43.183,39.897,38.349
1/28/2005,42.22,44.032,40.375,38.851,44.032,40.375,38.851
1/31/2005,43.22,43.72,39.976,38.307,43.72,39.976,38.307
2/1/2005,42.48,43.435,39.597,37.764,43.435,39.597,37.764
2/2/2005,41.88,44.63,41.043,37.115,44.63,41.043,37.115
2/3/2005,35.75,38.197,37.22,36.725,38.197,37.22,36.725
2/4/2005,35.72,37.63,36.674,35.747,37.63,36.674,35.747
2/7/2005,35.69,37.41,36.55,35.595,37.41,36.55,35.595
2/8/2005,36.3,36.588,36.16,34.92,36.588,36.16,34.92
2/9/2005,35.89,36.367,36.03,35.252,36.367,36.03,35.252
2/10/2005,35.78,35.943,35.866,35.165,35.943,35.866,35.165
2/11/2005,35.78,35.97,36.145,35.178,35.97,36.145,35.178
2/14/2005,36.03,36.192,36.094,34.9,36.192,36.094,34.9
2/15/2005,36.14,35.733,36.067,35.275,35.733,36.067,35.275
2/16/2005,35.66,35.549,36.148,35.32,35.549,36.148,35.32
2/17/2005,35.69,35.581,36.127,35.198,35.581,36.127,35.198
2/18/2005,35.31,35.314,35.998,35.108,35.314,35.998,35.108
2/22/2005,34.72,35.193,36.197,35.51,35.193,36.197,35.51
2/23/2005,34.14,36.01,36.341,35.645,36.01,36.341,35.645
2/24/2005,34.69,35.121,35.932,35.087,35.121,35.932,35.087
2/25/2005,34.99,34.32,35.574,35.035,34.32,35.574,35.035
2/28/2005,35.18,34.106,35.355,34.706,34.106,35.355,34.706
3/1/2005,35.39,33.67,35.357,35.031,33.67,35.357,35.031
3/2/2005,35.5,33.516,35.168,34.907,33.516,35.168,34.907
3/3/2005,35.65,33.697,35.574,35.046,33.697,35.574,35.046
3/4/2005,35.85,33.422,35.381,35.707,33.422,35.381,35.707
3/7/2005,36.32,34.249,35.982,35.682,34.249,35.982,35.682
3/8/2005,35.83,34.422,36.259,35.709,34.422,36.259,35.709
3/9/2005,35.399,34.159,36.474,36.414,34.159,36.474,36.414
3/10/2005,34.91,34.409,36.402,36.167,34.409,36.402,36.167
3/11/2005,34.75,34.96,36.766,36.496,34.96,36.766,36.496
3/14/2005,34.6,36.626,37.888,37.92,36.626,37.888,37.92
3/15/2005,34.18,36.956,38.303,38.305,36.956,38.303,38.305
3/16/2005,33.87,38.259,39.768,39.961,38.259,39.768,39.961
3/17/2005,33.97,38.135,39.905,40.059,38.135,39.905,40.059
3/18/2005,34.16,37.421,39.669,40.046,37.421,39.669,40.046
3/21/2005,33.67,41.033,40.738,40.883,41.033,40.738,40.883
3/22/2005,33.15,42.71,42.027,41.77,42.71,42.027,41.77
3/23/2005,33.18,42.85,42.07,41.929,42.85,42.07,41.929
3/24/2005,32.88,42.057,41.379,40.909,42.057,41.379,40.909
3/28/2005,33.39,41.408,40.699,40.314,41.408,40.699,40.314
3/29/2005,33.43,40.886,40.449,40.256,40.886,40.449,40.256
3/30/2005,34.32,40.193,39.92,39.555,40.193,39.92,39.555
3/31/2005,34.27,40.265,39.997,39.487,40.265,39.997,39.487
4/1/2005,34.01,40.167,39.836,39.226,40.167,39.836,39.226
4/4/2005,35,38.946,38.891,38.548,38.946,38.891,38.548
4/5/2005,35.28,38.594,38.725,38.632,38.594,38.725,38.632
4/6/2005,34.82,38.775,38.942,38.854,38.775,38.942,38.854
4/7/2005,34.9,38.094,38.59,38.609,38.094,38.59,38.609
4/8/2005,34.6,38.05,38.646,38.664,38.05,38.646,38.664
4/11/2005,34.6,38.57,39.206,38.799,38.57,39.206,38.799
4/12/2005,34.63,37.88,38.397,38.512,37.88,38.397,38.512
4/13/2005,34.3,38.273,38.812,38.936,38.273,38.812,38.936
4/14/2005,33.97,38.304,39.002,39.6,38.304,39.002,39.6
4/15/2005,33.02,40.013,40.55,41.758,40.013,40.55,41.758
4/18/2005,33,41.199,41.542,42.45,41.199,41.542,42.45
4/19/2005,32.78,41.007,41.403,41.977,41.007,41.403,41.977
4/20/2005,33.25,40.172,41.473,41.65,40.172,41.473,41.65
4/21/2005,33.73,39.714,40.536,41.412,39.714,40.536,41.412
4/22/2005,33.04,40.303,41.341,42.08,40.303,41.341,42.08
4/25/2005,33.53,39.752,40.491,41.809,39.752,40.491,41.809
4/26/2005,32.71,40.803,42.146,41.835,40.803,42.146,41.835
4/27/2005,31.72,34.842,37.789,38.895,34.842,37.789,38.895
4/28/2005,32.52,34.071,37.273,38.852,34.071,37.273,38.852
4/29/2005,32.36,33.649,37.664,38.813,33.649,37.664,38.813
5/2/2005,33.1,33.691,36.959,38.344,33.691,36.959,38.344
5/3/2005,33.21,32.844,36.985,38.242,32.844,36.985,38.242
5/4/2005,33.96,32.315,36.222,37.51,32.315,36.222,37.51
5/5/2005,33.96,32.329,36.144,37.428,32.329,36.144,37.428
5/6/2005,34.52,31.413,35.662,37.042,31.413,35.662,37.042
5/9/2005,34.64,31.923,35.673,37.193,31.923,35.673,37.193
5/10/2005,34.23,32.065,35.891,37.244,32.065,35.891,37.244
5/11/2005,33.82,32.427,36.277,37.657,32.427,36.277,37.657
5/12/2005,33.85,31.844,36.141,37.603,31.844,36.141,37.603
5/13/2005,33.9,32.106,36.123,37.651,32.106,36.123,37.651
5/16/2005,34.54,32.256,35.86,37.386,32.256,35.86,37.386
5/17/2005,34.73,31.705,35.493,36.774,31.705,35.493,36.774
5/18/2005,35.33,32.083,35.551,36.155,32.083,35.551,36.155
5/19/2005,35.59,31.281,34.997,35.874,31.281,34.997,35.874
5/20/2005,35.5,31.478,35.029,35.908,31.478,35.029,35.908
5/23/2005,35.68,31.838,34.816,35.545,31.838,34.816,35.545
5/24/2005,35.54,31.874,35.115,35.865,31.874,35.115,35.865
5/25/2005,35.25,31.919,35.001,35.842,31.919,35.001,35.842
5/26/2005,35.45,31.409,34.705,35.407,31.409,34.705,35.407
5/27/2005,35.5,30.535,33.87,34.764,30.535,33.87,34.764
5/31/2005,35.51,30.794,34.041,34.96,30.794,34.041,34.96
6/1/2005,36.64,30.281,33.317,34.346,30.281,33.317,34.346
6/2/2005,36.41,30.372,33.219,33.922,30.372,33.219,33.922
6/3/2005,35.59,29.85,33.329,34.096,29.85,33.329,34.096
6/6/2005,35.77,29.828,32.987,33.738,29.828,32.987,33.738
6/7/2005,35.35,29.643,33.078,33.878,29.643,33.078,33.878
6/8/2005,34.83,29.949,33.314,33.84,29.949,33.314,33.84
6/9/2005,35.2,30.635,33.005,33.476,30.635,33.005,33.476
6/10/2005,34.95,30.612,32.985,33.589,30.612,32.985,33.589
6/13/2005,34.87,31.121,33.337,34.054,31.121,33.337,34.054
6/14/2005,35.04,30.331,32.882,33.575,30.331,32.882,33.575
6/15/2005,35.24,30.527,32.659,33.284,30.527,32.659,33.284
6/16/2005,35.58,31.159,32.633,33.066,31.159,32.633,33.066
6/17/2005,35.31,31.342,32.761,33.151,31.342,32.761,33.151
6/20/2005,35.69,32.791,32.609,33.036,32.791,32.609,33.036
6/21/2005,35.38,33.115,33.09,33.35,33.115,33.09,33.35
6/22/2005,35.22,32.899,32.487,32.814,32.899,32.487,32.814
6/23/2005,35.43,32.73,32.705,32.934,32.73,32.705,32.934
6/24/2005,35.02,32.659,32.522,32.926,32.659,32.522,32.926
6/27/2005,34.5,32.922,32.645,32.877,32.922,32.645,32.877
6/28/2005,33.71,34.201,34.244,34.107,34.201,34.244,34.107
6/29/2005,33.35,34.533,34.597,34.468,34.533,34.597,34.468
6/30/2005,33.09,34.52,33.812,33.92,34.52,33.812,33.92
7/1/2005,32.91,34.531,33.908,33.928,34.531,33.908,33.928
7/5/2005,34.08,33.752,33.176,33.147,33.752,33.176,33.147
7/6/2005,34.06,34.008,32.981,33.056,34.008,32.981,33.056
7/7/2005,33.96,34.454,33.938,33.805,34.454,33.938,33.805
7/8/2005,34.74,33.85,33.258,33.367,33.85,33.258,33.367
7/11/2005,35.59,33.193,32.931,33.087,33.193,32.931,33.087
7/12/2005,36.31,32.175,31.843,32.295,32.175,31.843,32.295
7/13/2005,36.51,32.056,31.685,32.034,32.056,31.685,32.034
7/14/2005,37.19,31.806,31.856,32.069,31.806,31.856,32.069
7/15/2005,37.15,31.545,31.962,32.051,31.545,31.962,32.051
7/18/2005,37.19,29.965,30.817,31.056,29.965,30.817,31.056
7/19/2005,38.17,29.739,30.496,30.574,29.739,30.496,30.574
7/20/2005,38.17,29.115,28.984,29.752,29.115,28.984,29.752
7/21/2005,37.95,31.038,29.794,30.136,31.038,29.794,30.136
7/22/2005,37.95,31.587,29.995,30.424,31.587,29.995,30.424
7/25/2005,37.95,33.855,31.569,31.36,33.855,31.569,31.36
7/26/2005,37.74,32.807,29.882,30.124,32.807,29.882,30.124
7/27/2005,43.65,28.094,27.59,27.904,28.094,27.59,27.904
7/28/2005,45.68,29.531,30.453,30.122,29.531,30.453,30.122
7/29/2005,45.15,28.593,29.822,29.431,28.593,29.822,29.431
8/1/2005,44.93,28.873,29.556,29.322,28.873,29.556,29.322
8/2/2005,46.51,30.114,30.563,29.84,30.114,30.563,29.84
8/3/2005,46.11,30.182,30.643,29.825,30.182,30.643,29.825
8/4/2005,45.46,30.548,30.783,29.963,30.548,30.783,29.963
8/5/2005,45.27,30.412,30.984,30.472,30.412,30.984,30.472
8/8/2005,45.66,30.78,31.413,30.879,30.78,31.413,30.879
8/9/2005,45.93,30.849,31.27,30.865,30.849,31.27,30.865
8/10/2005,44.76,30.232,30.175,30.184,30.232,30.175,30.184
8/11/2005,45.21,30.15,30.255,30.298,30.15,30.255,30.298
8/12/2005,44.2,30.64,30.735,30.659,30.64,30.735,30.659
8/15/2005,45.04,30.888,30.778,30.598,30.888,30.778,30.598
8/16/2005,44.27,30.845,31.025,30.9,30.845,31.025,30.9
8/17/2005,44.12,30.6,30.678,30.563,30.6,30.678,30.563
8/18/2005,43.73,30.896,30.605,30.685,30.896,30.605,30.685
8/19/2005,43.72,30.163,30.079,30.414,30.163,30.079,30.414
8/22/2005,43.77,29.958,30.295,30.614,29.958,30.295,30.614
8/23/2005,43.42,29.872,30.287,30.673,29.872,30.287,30.673
8/24/2005,42.37,28.961,29.74,30.157,28.961,29.74,30.157
8/25/2005,42.31,28.906,29.747,30.055,28.906,29.747,30.055
8/26/2005,42.37,28.607,29.483,29.937,28.607,29.483,29.937
8/29/2005,42.79,28.514,29.766,30.091,28.514,29.766,30.091
8/30/2005,42.49,28.765,29.887,30.253,28.765,29.887,30.253
8/31/2005,42.7,28.261,29.776,30.16,28.261,29.776,30.16
9/1/2005,41.84,28.459,29.816,30.006,28.459,29.816,30.006
9/2/2005,41.51,28.26,29.944,29.993,28.26,29.944,29.993
9/6/2005,43.62,28.223,30.014,29.856,28.223,30.014,29.856
9/7/2005,43.73,27.785,30.139,30.197,27.785,30.139,30.197
9/8/2005,42.96,28.676,30.605,30.516,28.676,30.605,30.516
9/9/2005,42.95,28.835,30.872,30.629,28.835,30.872,30.629
9/12/2005,44.5,30.907,31.971,31.296,30.907,31.971,31.296
9/13/2005,43.93,31.278,32.668,31.833,31.278,32.668,31.833
9/14/2005,43.1,32.362,33.042,32.179,32.362,33.042,32.179
9/15/2005,42.71,32.623,32.792,32.066,32.623,32.792,32.066
9/16/2005,42.8,32.544,32.734,31.998,32.544,32.734,31.998
9/19/2005,42.75,33.532,32.856,31.923,33.532,32.856,31.923
9/20/2005,41.87,33.566,33.165,32.156,33.566,33.165,32.156
9/21/2005,41.25,34.056,33.171,32.274,34.056,33.171,32.274
9/22/2005,42.08,33.848,33.047,32.151,33.848,33.047,32.151
9/23/2005,42.19,34.047,33.085,32.3,34.047,33.085,32.3
9/26/2005,43.34,34.023,33.153,32.261,34.023,33.153,32.261
9/27/2005,43.16,34.201,33.039,32.134,34.201,33.039,32.134
9/28/2005,43.37,34.448,33.3,32.509,34.448,33.3,32.509
9/29/2005,44.79,34.971,33.181,32.173,34.971,33.181,32.173
9/30/2005,45.3,35.528,33.355,32.396,35.528,33.355,32.396
10/3/2005,46.01,35.867,33.594,32.442,35.867,33.594,32.442
10/4/2005,44.93,36.934,34.172,33.355,36.934,34.172,33.355
10/5/2005,44.49,38.952,35.625,34.572,38.952,35.625,34.572
10/6/2005,44.01,38.36,36.043,35.318,38.36,36.043,35.318
10/7/2005,43.72,38.256,36.076,35.337,38.256,36.076,35.337
10/10/2005,43.76,38.227,36.311,35.605,38.227,36.311,35.605
10/11/2005,43.4,38.642,36.372,35.771,38.642,36.372,35.771
10/12/2005,42.55,38.642,36.36,35.692,38.642,36.36,35.692
10/13/2005,42.62,38.653,36.446,35.527,38.653,36.446,35.527
10/14/2005,43.79,37.7,35.87,35.116,37.7,35.87,35.116
10/17/2005,45.02,37.759,35.78,34.969,37.759,35.78,34.969
10/18/2005,44.65,37.499,35.992,35.046,37.499,35.992,35.046
10/19/2005,45.86,36.945,35.658,35.076,36.945,35.658,35.076
10/20/2005,45.01,35.753,35.332,34.839,35.753,35.332,34.839
10/21/2005,45.95,35.717,35.184,34.731,35.717,35.184,34.731
10/24/2005,46.93,36.929,35.508,34.96,36.929,35.508,34.96
10/25/2005,46.17,39.767,37.076,36.237,39.767,37.076,36.237
10/26/2005,39.75,34.63,34.921,35.086,34.63,34.921,35.086
10/27/2005,39.06,34.551,35.176,35.514,34.551,35.176,35.514
10/28/2005,38.95,34.525,35.751,35.603,34.525,35.751,35.603
10/31/2005,39.86,33.84,35.453,35.573,33.84,35.453,35.573
11/1/2005,40.37,34.8,36.419,36.154,34.8,36.419,36.154
11/2/2005,40.75,33.768,36.259,36.181,33.768,36.259,36.181
11/3/2005,41.56,34.717,35.906,36.209,34.717,35.906,36.209
11/4/2005,41.09,34.611,35.946,36.185,34.611,35.946,36.185
11/7/2005,41.39,34.985,35.707,36.106,34.985,35.707,36.106
11/8/2005,41.95,34.781,35.728,36.125,34.781,35.728,36.125
11/9/2005,41.4,34.691,36.132,36.431,34.691,36.132,36.431
11/10/2005,42.18,34.111,35.723,36.098,34.111,35.723,36.098
11/11/2005,42.68,33.765,35.321,35.97,33.765,35.321,35.97
11/14/2005,42.53,33.902,35.654,36.178,33.902,35.654,36.178
11/15/2005,44.45,35.318,36.443,36.358,35.318,36.443,36.358
11/16/2005,45.3,35.894,36.353,36.099,35.894,36.353,36.099
11/17/2005,46.74,37.377,37.379,36.279,37.377,37.379,36.279
11/18/2005,47.98,36.538,37.574,36.198,36.538,37.574,36.198
11/21/2005,47.99,36.721,37.077,35.761,36.721,37.077,35.761
11/22/2005,48.85,35.404,36.692,35.445,35.404,36.692,35.445
11/23/2005,48.24,35.545,36.875,35.56,35.545,36.875,35.56
11/25/2005,48.06,35.996,37.003,35.858,35.996,37.003,35.858
11/28/2005,48.35,36.509,37.055,35.947,36.509,37.055,35.947
11/29/2005,48.55,36.955,37.343,36.521,36.955,37.343,36.521
11/30/2005,48.46,36.704,37.147,36.579,36.704,37.147,36.579
12/1/2005,49,36.75,36.903,36.3,36.75,36.903,36.3
12/2/2005,49.06,36.356,36.676,36.052,36.356,36.676,36.052
12/5/2005,48.83,36.944,36.617,35.998,36.944,36.617,35.998
12/6/2005,49.26,36.194,36.317,35.869,36.194,36.317,35.869
12/7/2005,48.83,35.989,36.258,35.789,35.989,36.258,35.789
12/8/2005,48.35,35.755,36.079,35.637,35.755,36.079,35.637
12/9/2005,48.74,35.32,35.86,35.505,35.32,35.86,35.505
12/12/2005,49.07,35.534,35.729,35.47,35.534,35.729,35.47
12/13/2005,49.5,35.711,35.608,35.383,35.711,35.608,35.383
12/14/2005,49.41,34.554,35.151,34.962,34.554,35.151,34.962
12/15/2005,49.48,33.811,34.462,34.444,33.811,34.462,34.444
12/16/2005,49.21,31.616,33.227,33.647,31.616,33.227,33.647
12/19/2005,48.37,34.642,33.588,33.666,34.642,33.588,33.666
12/20/2005,48.14,34.666,33.653,33.673,34.666,33.653,33.673
12/21/2005,48.97,34.981,33.396,33.609,34.981,33.396,33.609
12/22/2005,49.22,35.988,34.15,33.93,35.988,34.15,33.93
12/23/2005,49.22,36.323,34.426,34.098,36.323,34.426,34.098
12/27/2005,48.56,36.704,34.743,34.226,36.704,34.743,34.226
12/28/2005,48.06,37.034,34.878,34.294,37.034,34.878,34.294
12/29/2005,47.99,36.643,34.913,34.316,36.643,34.913,34.316
12/30/2005,47.15,36.426,34.791,34.602,36.426,34.791,34.602
1/3/2006,47.58,37.057,35.012,34.388,37.057,35.012,34.388
1/4/2006,47.25,37.017,35.083,34.36,37.017,35.083,34.36
1/5/2006,47.65,37.402,35.313,34.56,37.402,35.313,34.56
1/6/2006,47.87,37.39,35.596,34.919,37.39,35.596,34.919
1/9/2006,47.08,37.366,35.651,34.774,37.366,35.651,34.774
1/10/2006,45.651,38.321,36.329,35.238,38.321,36.329,35.238
1/11/2006,44.93,39.429,36.851,35.528,39.429,36.851,35.528
1/12/2006,44.36,39.176,36.859,35.606,39.176,36.859,35.606
1/13/2006,44.4,38.396,36.733,35.17,38.396,36.733,35.17
1/17/2006,44,38.331,36.644,35.373,38.331,36.644,35.373
1/18/2006,44.32,38.471,36.756,35.513,38.471,36.756,35.513
1/19/2006,44.45,38.565,36.85,35.575,38.565,36.85,35.575
1/20/2006,43.92,38.729,37.386,35.713,38.729,37.386,35.713
1/23/2006,43.73,39.905,37.61,36.008,39.905,37.61,36.008
1/24/2006,44.02,38.6,36.788,35.925,38.6,36.788,35.925
1/25/2006,43.6,37.778,36.287,35.615,37.778,36.287,35.615
1/26/2006,44.68,36.646,35.625,35.303,36.646,35.625,35.303
1/27/2006,45.22,36.41,35.818,35.428,36.41,35.818,35.428
1/30/2006,44.96,37.721,36.029,35.712,37.721,36.029,35.712
1/31/2006,44.82,36.888,36.04,35.636,36.888,36.04,35.636
2/1/2006,43.98,37.047,36.452,35.86,37.047,36.452,35.86
2/2/2006,42.74,39.147,41.956,36.718,39.147,41.956,36.718
2/3/2006,38.33,32.277,34.237,35.367,32.277,34.237,35.367
2/6/2006,37.95,32.643,34.217,35.293,32.643,34.217,35.293
2/7/2006,37.52,32.584,34.438,35.342,32.584,34.438,35.342
2/8/2006,38.17,32.228,34.395,35.198,32.228,34.395,35.198
2/9/2006,37.99,32.079,34.381,35.219,32.079,34.381,35.219
2/10/2006,38.52,31.842,34.303,35.183,31.842,34.303,35.183
2/13/2006,37.86,33.358,35.652,35.835,33.358,35.652,35.835
2/14/2006,38.25,32.562,35.071,35.682,32.562,35.071,35.682
2/15/2006,39.26,31.376,34.338,35.303,31.376,34.338,35.303
2/16/2006,39.15,31.722,34.417,35.293,31.722,34.417,35.293
2/17/2006,39.19,30.214,33.889,34.609,30.214,33.889,34.609
2/21/2006,38.29,30.761,34.649,35.288,30.761,34.649,35.288
2/22/2006,38.72,30.91,34.398,35.03,30.91,34.398,35.03
2/23/2006,37.9,31.142,34.494,35.273,31.142,34.494,35.273
2/24/2006,38.35,31.002,34.218,34.903,31.002,34.218,34.903
2/27/2006,38.01,31.83,34.659,34.96,31.83,34.659,34.96
2/28/2006,37.44,32.089,34.66,34.981,32.089,34.66,34.981
3/1/2006,37.12,32.336,34.746,35.083,32.336,34.746,35.083
3/2/2006,36.88,32.211,34.718,35.129,32.211,34.718,35.129
3/3/2006,37.21,32.443,34.866,35.167,32.443,34.866,35.167
3/6/2006,36.86,33.078,34.724,35.071,33.078,34.724,35.071
3/7/2006,36.93,32.212,34.328,35.139,32.212,34.328,35.139
3/8/2006,36.81,32.32,34.477,35.202,32.32,34.477,35.202
3/9/2006,36.12,31.751,34.235,34.696,31.751,34.235,34.696
3/10/2006,36.22,31.68,34.373,34.75,31.68,34.373,34.75
3/13/2006,36.19,31.053,33.648,34.42,31.053,33.648,34.42
3/14/2006,36.91,30.91,33.44,34.332,30.91,33.44,34.332
3/15/2006,36.89,30.506,33.279,34.123,30.506,33.279,34.123
3/16/2006,36.77,30.747,33.398,34.256,30.747,33.398,34.256
3/17/2006,35.99,30.469,33.208,34.088,30.469,33.208,34.088
3/20/2006,36.23,34.295,33.02,33.844,34.295,33.02,33.844
3/21/2006,35.92,34.162,32.236,33.035,34.162,32.236,33.035
3/22/2006,36,35.138,32.402,33.368,35.138,32.402,33.368
3/23/2006,35.68,35.108,32.383,33.337,35.108,32.383,33.337
3/24/2006,35.47,34.671,32.331,32.909,34.671,32.331,32.909
3/27/2006,35.25,34.511,32.278,33.268,34.511,32.278,33.268
3/28/2006,35.69,33.9,31.64,32.606,33.9,31.64,32.606
3/29/2006,36.32,33.036,30.98,31.992,33.036,30.98,31.992
3/30/2006,36.67,33.126,30.754,31.825,33.126,30.754,31.825
3/31/2006,36.53,32.794,30.834,31.706,32.794,30.834,31.706
4/3/2006,36.14,33.181,31.166,32.028,33.181,31.166,32.028
4/4/2006,36.77,32.417,30.599,31.436,32.417,30.599,31.436
4/5/2006,37.34,31.985,30.429,31.343,31.985,30.429,31.343
4/6/2006,38.51,31.728,30.059,30.994,31.728,30.059,30.994
4/7/2006,37.09,33.641,30.97,31.527,33.641,30.97,31.527
4/10/2006,36.61,33.467,31.177,31.915,33.467,31.177,31.915
4/11/2006,36.06,33.969,31.615,32.206,33.969,31.615,32.206
4/12/2006,36.13,33.775,31.46,32.301,33.775,31.46,32.301
4/13/2006,36.62,33.391,31.406,32.101,33.391,31.406,32.101
4/17/2006,35.27,34.551,32.319,32.403,34.551,32.319,32.403
4/18/2006,36.28,34.673,32.256,32.701,34.673,32.256,32.701
4/19/2006,36.89,33.923,32.12,32.395,33.923,32.12,32.395
4/20/2006,36.34,33.88,32.156,32.709,33.88,32.156,32.709
4/21/2006,36.03,34.109,32.642,33.064,34.109,32.642,33.064
4/24/2006,35.79,34.248,32.517,32.762,34.248,32.517,32.762
4/25/2006,35.55,32.72,31.746,31.871,32.72,31.746,31.871
4/26/2006,35.79,26.993,28.933,29.967,26.993,28.933,29.967
4/27/2006,35.74,26.783,28.394,29.661,26.783,28.394,29.661
4/28/2006,35.21,27.06,28.687,29.907,27.06,28.687,29.907
5/1/2006,34.59,27.494,29.027,30.398,27.494,29.027,30.398
5/2/2006,34.38,28.344,30.152,31.128,28.344,30.152,31.128
5/3/2006,33.96,29.015,30.495,31.437,29.015,30.495,31.437
5/4/2006,34.47,28.352,30.221,31.075,28.352,30.221,31.075
5/5/2006,35.04,29.286,31.826,32.201,29.286,31.826,32.201
5/8/2006,34.69,29.733,31.917,32.336,29.733,31.917,32.336
5/9/2006,34.84,29.883,32.299,32.655,29.883,32.299,32.655
5/10/2006,34.16,29.989,32.497,32.787,29.989,32.497,32.787
5/11/2006,33.53,30.919,32.949,33.401,30.919,32.949,33.401
5/12/2006,32.73,31.082,33.381,33.8,31.082,33.381,33.8
5/15/2006,32.78,30.86,33.458,33.921,30.86,33.458,33.921
5/16/2006,32.76,30.582,33.29,33.926,30.582,33.29,33.926
5/17/2006,31.61,31.861,34.635,35.098,31.861,34.635,35.098
5/18/2006,32.61,32.26,35.024,35.474,32.26,35.024,35.474
5/19/2006,33.94,33.226,35.162,35.546,33.226,35.162,35.546
5/22/2006,34.83,35.137,36.439,36.398,35.137,36.439,36.398
5/23/2006,33.76,36.61,36.667,36.76,36.61,36.667,36.76
5/24/2006,35.19,37.658,37.668,36.825,37.658,37.668,36.825
5/25/2006,35.63,34.134,35.465,35.604,34.134,35.465,35.604
5/26/2006,36.07,33.646,35.465,35.65,33.646,35.465,35.65
5/30/2006,34.64,35.099,36.18,36.175,35.099,36.18,36.175
5/31/2006,34.61,34.907,36.426,36.613,34.907,36.426,36.613
6/1/2006,35.07,34.761,36.441,36.466,34.761,36.441,36.466
6/2/2006,34.76,35.01,36.5,36.628,35.01,36.5,36.628
6/5/2006,33.49,34.945,36.692,36.658,34.945,36.692,36.658
6/6/2006,33.41,35.201,36.735,36.989,35.201,36.735,36.989
6/7/2006,33.77,35.321,36.932,37.009,35.321,36.932,37.009
6/8/2006,33.55,36.076,37.349,37.655,36.076,37.349,37.655
6/9/2006,33.78,36.697,37.663,37.851,36.697,37.663,37.851
6/12/2006,33.6,37.564,38.419,38.549,37.564,38.419,38.549
6/13/2006,33.47,38.216,38.778,38.725,38.216,38.778,38.725
6/14/2006,33.68,37.807,38.711,38.601,37.807,38.711,38.601
6/15/2006,34.96,35.733,36.247,36.414,35.733,36.247,36.414
6/16/2006,35.09,33.9,35.05,35.523,33.9,35.05,35.523
6/19/2006,35.07,37.74,36.008,36.198,37.74,36.008,36.198
6/20/2006,35.48,37.334,35.547,36.001,37.334,35.547,36.001
6/21/2006,36.65,36.632,34.526,35.093,36.632,34.526,35.093
6/22/2006,36.37,36.722,34.874,35.372,36.722,34.874,35.372
6/23/2006,36.55,36.171,34.233,34.88,36.171,34.233,34.88
6/26/2006,36.77,36.76,34.388,35.19,36.76,34.388,35.19
6/27/2006,36.48,37.38,34.743,35.393,37.38,34.743,35.393
6/28/2006,36.7,37.202,34.459,35.16,37.202,34.459,35.16
6/29/2006,38.52,36.553,33.992,34.709,36.553,33.992,34.709
6/30/2006,38.68,37.012,34.157,34.776,37.012,34.157,34.776
7/3/2006,38.61,37.115,34.366,34.927,37.115,34.366,34.927
7/5/2006,37.11,38.09,35.09,35.389,38.09,35.09,35.389
7/6/2006,36.8,37.674,35.063,35.413,37.674,35.063,35.413
7/7/2006,36.11,38.108,35.304,35.515,38.108,35.304,35.515
7/10/2006,35.79,38.24,35.75,36.126,38.24,35.75,36.126
7/11/2006,35.66,38.277,35.911,36.094,38.277,35.911,36.094
7/12/2006,34.63,38.449,36.199,36.387,38.449,36.199,36.387
7/13/2006,33.73,40.15,37.589,37.367,40.15,37.589,37.367
7/14/2006,32.92,41.453,38.723,38.274,41.453,38.723,38.274
7/17/2006,33.67,41.151,38.756,38.267,41.151,38.756,38.267
7/18/2006,33.49,41.19,39.123,38.455,41.19,39.123,38.455
7/19/2006,34.48,41.284,38.883,38.437,41.284,38.883,38.437
7/20/2006,34.18,41.706,39.303,38.697,41.706,39.303,38.697
7/21/2006,33.19,44.231,40.457,40.039,44.231,40.457,40.039
7/24/2006,34.31,44.102,41.145,40.654,44.102,41.145,40.654
7/25/2006,33.59,42.548,41.586,40.853,42.548,41.586,40.853
7/26/2006,26.26,39.422,39.973,39.922,39.422,39.973,39.922
7/27/2006,26.56,38.828,39.908,39.903,38.828,39.908,39.903
7/28/2006,27.17,37.253,38.439,38.675,37.253,38.439,38.675
